iata,strength,comment
DMK,6,Bangkok
UPG,6,Makassar
NCL,6,Newcastle
NAS,6,Nassau
OAK,6,San Francisco
SOF,6,Sofia
GLA,6,Glasgow
ABV,6,
UIO,6,
BSZ,9,
AAL,5,Aalborg
GOT,5,Gothenburg
ATH,5,Athens
PIT,5,Pittsburgh
AHB,5,
CLO,5,Cali
CZX,5,Changzhou
MBA,5,Mombasa
MVD,5,
UKB,5,
OVB,5,
BOI,5,
NBJ,5,Luanda
ABJ,5,
TLS,4,Toulouse
STL,4,
SDQ,4,
CRL,4,Brussles
NKG,4,Nanjing
BGI,4,Bridgetown
SNA,4,
YXE,4,Saskatoon
HAV,4,Havanna
GYE,4,
HLP,4,Jakarta
CVG,4,
LFW,4,
NUE,4,
BUR,4,
ILO,4,
DAR,4,
DYU,4,
BHX,4,Birmingham
NSI,4,
LYS,3,Grenoble
TRD,3,Trondheim
KEF,3,Reykjavik
IOM,3,Castletown
JNU,3,Juneau
MCI,3,
SJJ,3,Sarajevo
LCA,3,Nicosia
RDU,3,
CCU,3,
JAX,3,
JIB,3,Djibouti
SVX,3,
ISB,3,
RGN,3,
ASB,3,
EBL,3,
EBB,3,
SAL,3,San Salvador
SKP,2,Skopje
DLA,3,
KNO,2,
SDJ,2,Sendai
ABQ,2,
CLE,2,
EBL,2,Arbil
MKE,2,
YWG,2,
PZU,2,Port Sudan
CAY,2,
AOJ,2,Aomori
CMH,2,
IND,2,
SAT,2,
BSL,2,
KGD,2,
DSS,2,
MPM,2,
CHC,2,
HGH,2,Hangzhou
MRV,2,
BPN,2,
SAP,1,San Pedro Sula
CXH,1,Vancouver Heliport
JRA,1,NYC Heliport
JRB,1,NYC Heliport
SKM,1,Sao Paulo, fictional IATA code
HHP,1,Hong Kong
SDB,1,Rio Heliport
